page_number_file_a,section_number_file_a,text_file_a,page_number_file_b,section_number_file_b,text_file_b,diff_score
11,3,"Principle 3: Banks should identify and manage credit risk inherent in all products and activities. Banks should ensure that the risks of products and activities new to them are subject to adequate risk management procedures and controls before being introduced or undertaken, and approved in advance by the board of directors or its appropriate committee.
23. The basis for an effective credit risk management process is the identification and analysis of existing and potential risks inherent in any product or activity. Consequently, it is important that banks identify all credit risk inherent in the products they offer and the activities in which they engage. Such identification stems from a careful review of the existing and potential credit risk characteristics of the product or activity.
24. Banks must develop a clear understanding of the credit risks involved in more complex credit-granting activities (for example, loans to certain industry sectors, asset securitisation, customer-written options, credit derivatives, credit-linked notes). This is particularly important because the credit risk involved, while not new to banking, may be less obvious and require more analysis than the risk of more traditional credit-granting activities.
Although more complex credit-granting activities may require tailored procedures and controls, the basic principles of credit risk management will still apply.
25. New ventures require significant planning and careful oversight to ensure the risks are appropriately identified and managed. Banks should ensure that the risks of new products and activities are subject to adequate procedures and controls before being introduced or undertaken. Any major new activity should be approved in advance by the board of directors or its appropriate delegated committee.
26. It is critical that senior management determine that the staff involved in any activity where there is borrower or counterparty credit risk, whether established or new, basic or more complex, be fully capable of conducting the activity to the highest standards and in compliance with the bank’s policies and procedures.",,,,0.0
12,4,"Principle 4: Banks must operate within sound, well-defined credit-granting criteria.
These criteria should include a clear indication of the bank’s target market and a thorough understanding of the borrower or counterparty, as well as the purpose and structure of the credit, and its source of repayment.
27. Establishing sound, well-defined credit-granting criteria is essential to approving credit in a safe and sound manner. The criteria should set out who is eligible for credit and for how much, what types of credit are available, and under what terms and conditions the credits should be granted.
28. Banks must receive sufficient information to enable a comprehensive assessment of the true risk profile of the borrower or counterparty. Depending on the type of credit exposure and the nature of the credit relationship to date, the factors to be considered and documented in approving credits include:
• the purpose of the credit and sources of repayment;
• the current risk profile (including the nature and aggregate amounts of risks) of the borrower or counterparty and collateral and its sensitivity to economic and market developments;
• the borrower’s repayment history and current capacity to repay, based on historical financial trends and future cash flow projections, under various scenarios;
• for commercial credits, the borrower’s business expertise and the status of the borrower’s economic sector and its position within that sector;
• the proposed terms and conditions of the credit, including covenants designed to limit changes in the future risk profile of the borrower; and • where applicable, the adequacy and enforceability of collateral or guarantees, including under various scenarios.
In addition, in approving borrowers or counterparties for the first time, consideration should be given to the integrity and reputation of the borrower or counterparty as well as their legal capacity to assume the liability. Once credit-granting criteria have been established, it is essential for the bank to ensure that the information it receives is sufficient to make proper credit-granting decisions. This information will also serve as the basis for rating the credit under the bank’s internal rating system.
29. Banks need to understand to whom they are granting credit. Therefore, prior to entering into any new credit relationship, a bank must become familiar with the borrower or counterparty and be confident that they are dealing with an individual or organisation of sound repute and creditworthiness. In particular, strict policies must be in place to avoid association with individuals involved in fraudulent activities and other crimes. This can be achieved through a number of ways, including asking for references from known parties, accessing credit registries, and becoming familiar with individuals responsible for managing a company and checking their personal references and financial condition. However, a bank should not grant credit simply because the borrower or counterparty is familiar to the bank or is perceived to be highly reputable.
30. Banks should have procedures to identify situations where, in considering credits, it is appropriate to classify a group of obligors as connected counterparties and, thus, as a single obligor. This would include aggregating exposures to groups of accounts exhibiting financial interdependence, including corporate or non-corporate, where they are under common ownership or control or with strong connecting links (for example, common management, familial ties). 5 Banks should also have procedures for aggregating exposures to individual clients across business activities.
31. Many banks participate in loan syndications or other such loan consortia. Some institutions place undue reliance on the credit risk analysis done by the lead underwriter or on external commercial loan credit ratings. All syndicate participants should perform their own due diligence, including independent credit risk analysis and review of syndicate terms prior to committing to the syndication. Each bank should analyse the risk and return on syndicated loans in the same manner as directly sourced loans.
32. Granting credit involves accepting risks as well as producing profits. Banks should assess the risk/reward relationship in any credit as well as the overall profitability of the
Connected counterparties may be a group of companies related financially or by common ownership, management, research and development, marketing or any combination thereof. Identification of connected counterparties requires a careful analysis of the impact of these factors on the financial interdependency of the parties involved.
account relationship. In evaluating whether, and on what terms, to grant credit, banks need to assess the risks against expected return, factoring in, to the greatest extent possible, price and non-price (e.g. collateral, restrictive covenants, etc.) terms. In evaluating risk, banks should also assess likely downside scenarios and their possible impact on borrowers or counterparties. A common problem among banks is the tendency not to price a credit or overall relationship properly and therefore not receive adequate compensation for the risks incurred.
33. In considering potential credits, banks must recognise the necessity of establishing provisions for identified and expected losses and holding adequate capital to absorb unexpected losses. The bank should factor these considerations into credit-granting decisions, as well as into the overall portfolio risk management process. 6
34. Banks can utilise transaction structure, collateral and guarantees to help mitigate risks (both identified and inherent) in individual credits but transactions should be entered into primarily on the strength of the borrower’s repayment capacity. Collateral cannot be a substitute for a comprehensive assessment of the borrower or counterparty, nor can it compensate for insufficient information. It should be recognised that any credit enforcement actions (e.g. foreclosure proceedings) can eliminate the profit margin on the transaction. In addition, banks need to be mindful that the value of collateral may well be impaired by the same factors that have led to the diminished recoverability of the credit. Banks should have policies covering the acceptability of various forms of collateral, procedures for the ongoing valuation of such collateral, and a process to ensure that collateral is, and continues to be, enforceable and realisable. With regard to guarantees, banks should evaluate the level of coverage being provided in relation to the credit-quality and legal capacity of the guarantor.
Banks should be careful when making assumptions about implied support from third parties such as the government.
35. Netting agreements are an important way to reduce credit risks, especially in interbank transactions. In order to actually reduce risk, such agreements need to be sound and legally enforceable. 7
36. Where actual or potential conflicts of interest exist within the bank, internal confidentiality arrangements (e.g. “Chinese walls”) should be established to ensure that there is no hindrance to the bank obtaining all relevant information from the borrower.",,,,0.0
14,5,"Principle 5: Banks should establish overall credit limits at the level of individual borrowers and counterparties, and groups of connected counterparties that aggregate in a comparable and meaningful manner different types of exposures, both in the banking and trading book and on and off the balance sheet.
37. An important element of credit risk management is the establishment of exposure limits on single counterparties and groups of connected counterparties. Such limits are
Guidance on loan classification and provisioning is available in the document Sound Practices for Loan Accounting and Disclosure (July 1999).
Guidance on netting arrangements is available in the document Consultative paper on on-balance sheet netting (April
1998).
frequently based in part on the internal risk rating assigned to the borrower or counterparty, with counterparties assigned better risk ratings having potentially higher exposure limits.
Limits should also be established for particular industries or economic sectors, geographic regions and specific products.
38. Exposure limits are needed in all areas of the bank’s activities that involve credit risk. These limits help to ensure that the bank’s credit-granting activities are adequately diversified. As mentioned earlier, much of the credit exposure faced by some banks comes from activities and instruments in the trading book and off the balance sheet. Limits on such transactions are particularly effective in managing the overall credit risk profile or counterparty risk of a bank. In order to be effective, limits should generally be binding and not driven by customer demand.
39. Effective measures of potential future exposure are essential for the establishment of meaningful limits, placing an upper bound on the overall scale of activity with, and exposure to, a given counterparty, based on a comparable measure of exposure across a bank’s various activities (both on and off-balance-sheet).
40. Banks should consider the results of stress testing in the overall limit setting and monitoring process. Such stress testing should take into consideration economic cycles, interest rate and other market movements, and liquidity conditions.
41. Bank’s credit limits should recognise and reflect the risks associated with the near- term liquidation of positions in the event of counterparty default. 8 Where a bank has several transactions with a counterparty, its potential exposure to that counterparty is likely to vary significantly and discontinuously over the maturity over which it is calculated. Potential future exposures should therefore be calculated over multiple time horizons. Limits should also factor in any unsecured exposure in a liquidation scenario.",,,,0.0
16,7,"Principle 7: All extensions of credit must be made on an arm’s-length basis. In particular, credits to related companies and individuals must be authorised on an exception basis, monitored with particular care and other appropriate steps taken to control or mitigate the risks of non-arm’s length lending.
46. Extensions of credit should be made subject to the criteria and processes described above. These create a system of checks and balances that promote sound credit decisions.
Therefore, directors, senior management and other influential parties (e.g. shareholders) should not seek to override the established credit-granting and monitoring processes of the bank.
47. A potential area of abuse arises from granting credit to non-arms-length and related parties, whether companies or individuals. 9 Consequently, it is important that banks grant credit to such parties on an arm’s-length basis and that the amount of credit granted is suitably monitored. Such controls are most easily implemented by requiring that the terms and conditions of such credits not be more favourable than credit granted to non-related borrowers under similar circumstances and by imposing strict absolute limits on such credits. Another possible method of control is the public disclosure of the terms of credits granted to related
Related parties can include the bank’s subsidiaries and affiliates, its major shareholders, directors and senior management, and their direct and related interests, as well as any party that the bank exerts control over or that exerts control over the bank.
parties. The bank’s credit-granting criteria should not be altered to accommodate related companies and individuals.
48. Material transactions with related parties should be subject to the approval of the board of directors (excluding board members with conflicts of interest), and in certain circumstances (e.g. a large loan to a major shareholder) reported to the banking supervisory authorities.",,,,0.0
17,IV,"IV. Maintaining an Appropriate Credit Administration, Measurement and Monitoring Process",,,,0.0
18,10,"Principle 10: Banks are encouraged to develop and utilise an internal risk rating system in managing credit risk. The rating system should be consistent with the nature, size and complexity of a bank’s activities.
See footnote 6.
57. An important tool in monitoring the quality of individual credits, as well as the total portfolio, is the use of an internal risk rating system. A well-structured internal risk rating system is a good means of differentiating the degree of credit risk in the different credit exposures of a bank. This will allow more accurate determination of the overall characteristics of the credit portfolio, concentrations, problem credits, and the adequacy of loan loss reserves.
More detailed and sophisticated internal risk rating systems, used primarily at larger banks, can also be used to determine internal capital allocation, pricing of credits, and profitability of transactions and relationships.
58. Typically, an internal risk rating system categorises credits into various classes designed to take into account gradations in risk. Simpler systems might be based on several categories ranging from satisfactory to unsatisfactory; however, more meaningful systems will have numerous gradations for credits considered satisfactory in order to truly differentiate the relative credit risk they pose. In developing their systems, banks must decide whether to rate the riskiness of the borrower or counterparty, the risks associated with a specific transaction, or both.
59. Internal risk ratings are an important tool in monitoring and controlling credit risk. In order to facilitate early identification of changes in risk profiles, the bank’s internal risk rating system should be responsive to indicators of potential or actual deterioration in credit risk.
Credits with deteriorating ratings should be subject to additional oversight and monitoring, for example, through more frequent visits from credit officers and inclusion on a watchlist that is regularly reviewed by senior management. The internal risk ratings can be used by line management in different departments to track the current characteristics of the credit portfolio and help determine necessary changes to the credit strategy of the bank. Consequently, it is important that the board of directors and senior management also receive periodic reports on the condition of the credit portfolios based on such ratings.
60. The ratings assigned to individual borrowers or counterparties at the time the credit is granted must be reviewed on a periodic basis and individual credits should be assigned a new rating when conditions either improve or deteriorate. Because of the importance of ensuring that internal ratings are consistent and accurately reflect the quality of individual credits, responsibility for setting or confirming such ratings should rest with a credit review function independent of that which originated the credit concerned. It is also important that the consistency and accuracy of ratings is examined periodically by a function such as an independent credit review group.",,,,0.0
19,11,"Principle 11: Banks must have information systems and analytical techniques that enable management to measure the credit risk inherent in all on- and off-balance sheet activities. The management information system should provide adequate information on the composition of the credit portfolio, including identification of any concentrations of risk.
61. Banks should have methodologies that enable them to quantify the risk involved in exposures to individual borrowers or counterparties. Banks should also be able to analyse credit risk at the product and portfolio level in order to identify any particular sensitivities or concentrations. The measurement of credit risk should take account of (i) the specific nature of the credit (loan, derivative, facility, etc.) and its contractual and financial conditions (maturity, reference rate, etc.); (ii) the exposure profile until maturity in relation to potential market movements; (iii) the existence of collateral or guarantees; and (iv) the potential for default based on the internal risk rating. The analysis of credit risk data should be undertaken at an appropriate frequency with the results reviewed against relevant limits. Banks should use measurement techniques that are appropriate to the complexity and level of the risks involved in their activities, based on robust data, and subject to periodic validation.
62. The effectiveness of a bank’s credit risk measurement process is highly dependent on the quality of management information systems. The information generated from such systems enables the board and all levels of management to fulfil their respective oversight roles, including determining the adequate level of capital that the bank should be holding.
Therefore, the quality, detail and timeliness of information are critical. In particular, information on the composition and quality of the various portfolios, including on a consolidated bank basis, should permit management to assess quickly and accurately the level of credit risk that the bank has incurred through its various activities and determine whether the bank’s performance is meeting the credit risk strategy.
63. Banks should monitor actual exposures against established limits. It is important that banks have a management information system in place to ensure that exposures approaching risk limits are brought to the attention of senior management. All exposures should be included in a risk limit measurement system. The bank’s information system should be able to aggregate credit exposures to individual borrowers and counterparties and report on exceptions to credit risk limits on a meaningful and timely basis.
64. Banks should have information systems in place that enable management to identify any concentrations of risk within the credit portfolio. The adequacy of scope of information should be reviewed on a periodic basis by business line managers and senior management to ensure that it is sufficient to the complexity of the business. Increasingly, banks are also designing information systems that permit additional analysis of the credit portfolio, including stress testing.",,,,0.0
20,12,"Principle 12: Banks must have in place a system for monitoring the overall composition and quality of the credit portfolio.
65. Traditionally, banks have focused on oversight of contractual performance of individual credits in managing their overall credit risk. While this focus is important, banks also need to have in place a system for monitoring the overall composition and quality of the various credit portfolios. This system should be consistent with the nature, size and complexity of the bank's portfolios.
66. A continuing source of credit-related problems in banks is concentrations within the credit portfolio. Concentrations of risk can take many forms and can arise whenever a significant number of credits have similar risk characteristics. Concentrations occur when, among other things, a bank’s portfolio contains a high level of direct or indirect credits to (i) a single counterparty, (ii) a group of connected counterparties 11 , (iii) a particular industry or economic sector, (iv) a geographic region, (v) an individual foreign country or a group of countries whose economies are strongly interrelated, (vi) a type of credit facility, or (vii) a type of collateral. Concentrations also occur in credits with the same maturity. Concentrations can stem from more complex or subtle linkages among credits in the portfolio. The
See footnote 5.
concentration of risk does not only apply to the granting of loans but to the whole range of banking activities that, by their nature, involve counterparty risk. A high level of concentration exposes the bank to adverse changes in the area in which the credits are concentrated.
67. In many instances, due to a bank’s trade area, geographic location or lack of access to economically diverse borrowers or counterparties, avoiding or reducing concentrations may be extremely difficult. In addition, banks may want to capitalise on their expertise in a particular industry or economic sector. A bank may also determine that it is being adequately compensated for incurring certain concentrations of risk. Consequently, banks should not necessarily forego booking sound credits solely on the basis of concentration. Banks may need to make use of alternatives to reduce or mitigate concentrations. Such measures can include pricing for the additional risk, increased holdings of capital to compensate for the additional risks and making use of loan participations in order to reduce dependency on a particular sector of the economy or group of related borrowers. Banks must be careful not to enter into transactions with borrowers or counterparties they do not know or engage in credit activities they do not fully understand simply for the sake of diversification.
68. Banks have new possibilities to manage credit concentrations and other portfolio issues. These include such mechanisms as loan sales, credit derivatives, securitisation programs and other secondary loan markets. However, mechanisms to deal with portfolio concentration issues involve risks that must also be identified and managed. Consequently, when banks decide to utilise these mechanisms, they need to first have policies and procedures, as well as adequate controls, in place.",,,,0.0
21,13,"Principle 13: Banks should take into consideration potential future changes in economic conditions when assessing individual credits and their credit portfolios, and should assess their credit risk exposures under stressful conditions.
69. An important element of sound credit risk management involves discussing what could potentially go wrong with individual credits and within the various credit portfolios, and factoring this information into the analysis of the adequacy of capital and provisions. This
“what if” exercise can reveal previously undetected areas of potential credit risk exposure for the bank. The linkages between different categories of risk that are likely to emerge in times of crisis should be fully understood. In case of adverse circumstances, there may be a substantial correlation of various risks, especially credit and market risk. Scenario analysis and stress testing are useful ways of assessing areas of potential problems.
70. Stress testing should involve identifying possible events or future changes in economic conditions that could have unfavourable effects on a bank’s credit exposures and assessing the bank’s ability to withstand such changes. Three areas that banks could usefully examine are: (i) economic or industry downturns; (ii) market-risk events; and (iii) liquidity conditions. Stress testing can range from relatively simple alterations in assumptions about one or more financial, structural or economic variables to the use of highly sophisticated financial models. Typically, the latter are used by large, internationally active banks.
71. Whatever the method of stress testing used, the output of the tests should be reviewed periodically by senior management and appropriate action taken in cases where the results exceed agreed tolerances. The output should also be incorporated into the process for assigning and updating policies and limits.
72. The bank should attempt to identify the types of situations, such as economic downturns, both in the whole economy or in particular sectors, higher than expected levels of delinquencies and defaults, or the combinations of credit and market events, that could produce substantial losses or liquidity problems. Such an analysis should be done on a consolidated bank basis. Stress-test analyses should also include contingency plans regarding actions management might take given certain scenarios. These can include such techniques as hedging against the outcome or reducing the size of the exposure.",,,,0.0
22,V,V. Ensuring Adequate Controls over Credit Risk,,,,0.0
22,14,"Principle 14: Banks must establish a system of independent, ongoing assessment of the bank’s credit risk management processes and the results of such reviews should be communicated directly to the board of directors and senior management.
73. Because various appointed individuals throughout a bank have the authority to grant credit, the bank should have an efficient internal review and reporting system in order to manage effectively the bank’s various portfolios. This system should provide the board of directors and senior management with sufficient information to evaluate the performance of account officers and the condition of the credit portfolio.
74. Internal credit reviews conducted by individuals independent from the business function provide an important assessment of individual credits and the overall quality of the credit portfolio. Such a credit review function can help evaluate the overall credit administration process, determine the accuracy of internal risk ratings and judge whether the account officer is properly monitoring individual credits. The credit review function should report directly to the board of directors, a committee with audit responsibilities, or senior management without lending authority (e.g., senior management within the risk control function).",,,,0.0
22,15,"Principle 15: Banks must ensure that the credit-granting function is being properly managed and that credit exposures are within levels consistent with prudential standards and internal limits. Banks should establish and enforce internal controls and other practices to ensure that exceptions to policies, procedures and limits are reported in a timely manner to the appropriate level of management for action.
75. The goal of credit risk management is to maintain a bank’s credit risk exposure within parameters set by the board of directors and senior management. The establishment and enforcement of internal controls, operating limits and other practices will help ensure that credit risk exposures do not exceed levels acceptable to the individual bank. Such a system will enable bank management to monitor adherence to the established credit risk objectives.
76. Limit systems should ensure that granting of credit exceeding certain predetermined levels receive prompt management attention. An appropriate limit system should assist management in controlling credit risk exposures, initiating discussion about opportunities and risks, and monitoring actual risk taking against predetermined credit risk tolerances.
77. Internal audits of the credit risk processes should be conducted on a periodic basis to determine that credit activities are in compliance with the bank’s credit policies and procedures, that credits are authorised within the guidelines established by the bank’s board of directors and that the existence, quality and value of individual credits are accurately being reported to senior management. Such audits should also be used to identify areas of weakness in the credit risk management process, policies and procedures as well as any exceptions to policies, procedures and limits.",,,,0.0
